index,top1,top2,top3,strategy_ret_1m,avg_score,krx_benchmark_fwd_1m,strategy_cum,benchmark_cum
2016-04-29,보험,자동차,에너지화학,-0.01984548346559667,0.8416666666666667,-0.04748340715555734,-0.1344414514593305,-0.2723679669060255
2016-05-31,에너지화학,자동차,기계장비,-0.04603191983640568,0.8416666666666667,-0.03340560817971823,-0.17428477317947022,-0.29667495750257455
2016-06-30,기계장비,자동차,에너지화학,0.056679386431183566,0.8416666666666667,0.06723015714403772,-0.127483740756397,-0.2493903043721356
2016-07-29,기계장비,자동차,반도체,-0.0003751926308395899,0.7916666666666666,0.00469370124137527,-0.127811102427153,-0.24586716671197884
2016-08-31,기계장비,반도체,건설,0.009933011252539056,0.9166666666666666,0.011008251082689203,-0.11914764029322222,-0.2375654831334445
2016-09-30,기계장비,반도체,은행,0.014717622395274152,0.8416666666666665,-0.008616925003124332,-0.10618358787707172,-0.24413532418507689
2016-10-31,기계장비,은행,반도체,-0.021374546543138973,0.8916666666666666,-0.020395397574404728,-0.12528850837901473,-0.2595514847607707
2016-11-30,철강,은행,기계장비,0.04683981832042424,0.8666666666666666,0.03775606698483604,-0.08431718102870056,-0.23159506102057603
2016-12-29,은행,기계장비,철강,0.026330379195122083,0.8083333333333332,0.014364021399233762,-0.060206905182727866,-0.22055767603379872
2017-01-31,철강,은행,기계장비,0.024111030603519268,0.8666666666666666,0.02198633945830224,-0.0375475251126125,-0.20342059251090983
2017-02-28,기계장비,은행,반도체,0.027716681605767606,0.8916666666666666,0.020944646412294855,-0.01087153630547566,-0.18673651848173545
2017-03-31,반도체,은행,기계장비,0.022442589694699516,0.8916666666666666,0.0030088548411770924,0.011327067960569037,-0.18428952671821675
2017-04-28,반도체,은행,기계장비,0.03338115832217673,0.9166666666666666,0.07995653075001832,0.04508633693166364,-0.11906814717814984
2017-05-31,반도체,은행,운송,0.08040775908553292,0.8666666666666666,0.029700257991141288,0.12911938733524697,-0.09290424387672669
2017-06-30,은행,반도체,운송,0.0018794688639126589,0.8666666666666666,-0.0014117576104661393,0.13124153206738387,-0.09418484321385534
2017-07-31,은행,보험,증권,-0.05232280980761683,0.8166666666666665,-0.013808404461450359,0.07205179653854499,-0.10669270526607055
2017-08-31,철강,보험,운송,-0.060847178277326885,0.7666666666666666,-0.015184659718194597,0.006820469752035541,-0.12025727256038621
2017-09-29,반도체,증권,에너지화학,0.023580520639461772,0.8666666666666666,0.04465965586509527,0.03056182061925594,-0.08096826510311272
2017-10-31,반도체,증권,철강,0.009061279819830329,0.8166666666666665,0.01095054826535679,0.03990002964752093,-0.0709043637327299
2017-11-30,반도체,에너지화학,자동차,0.006816474159784443,0.7916666666666666,0.004018358478176028,0.0469884813283723,-0.06717092440569894
2017-12-28,에너지화학,반도체,증권,0.08081844971300552,0.8416666666666667,0.07607138249607548,0.13160446725670538,0.0037906730072956307
2018-01-31,증권,보험,건설,-0.09289523044141257,0.7666666666666666,-0.05969428815743812,0.026483809502361844,-0.056129896676950675
2018-02-28,에너지화학,증권,운송,0.0005222645910109384,0.7916666666666666,-0.004651609110515631,0.027019905649311005,-0.060520411448711564
2018-03-30,에너지화학,운송,증권,0.02176919421617607,0.8166666666666665,0.012142939610546933,0.04937730143926955,-0.049112367539591695
2018-04-30,건설,운송,증권,-0.009786604824057576,0.8916666666666666,-0.025591480813955993,0.03910746047874758,-0.07344699014193035
2018-05-31,건설,증권,에너지화학,-0.08195219058732121,0.8666666666666666,-0.04838636287855561,-0.046049672163114064,-0.11827952030314082
2018-06-29,건설,에너지화학,은행,0.014545025602261305,0.8416666666666667,-0.011675805890878969,-0.032174440221441114,-0.1285743174740941
2018-07-31,건설,에너지화학,증권,0.0019482424669649001,0.7916666666666666,0.0051880001309426126,-0.03028888136526653,-0.12405336091904295
2018-08-31,건설,증권,기계장비,0.06988396655022622,0.8166666666666665,0.02510912463660362,0.03747837801278564,-0.10205910758334524
2018-09-28,건설,자동차,기계장비,-0.18470339249009823,0.8416666666666667,-0.1489571674486743,-0.1541473980413004,-0.23581383945406487
2018-10-31,건설,운송,보험,0.07620650792243748,0.8666666666666667,0.05510869176419831,-0.08968792502892042,-0.1937005398820728
2018-11-30,건설,운송,기계장비,0.0008805189377287063,0.8666666666666666,-0.006830478666160082,-0.08888637800766519,-0.19920795114294465
2018-12-28,건설,운송,기계장비,0.05770214558466432,0.9166666666666666,0.06094064384987449,-0.03631316714729271,-0.1504071680957355
2019-01-31,건설,운송,기계장비,-0.011411205183496698,0.8916666666666666,-0.0062683345100543,-0.047309995329609,-0.15573270016345575
